,Type of Program,Type of Residency,PGY1 Subtype,PGY2 Specialty,Area of Emphasis,Primary Setting,Teaching and Learning Curriculum,Description of opportunity,Residency Accreditation,ACCP Peer Reviewed Research Fellowship,Preceptor,Institution,Length (Yrs),Start Date,Stipend,Number of These Positions,Number of OTHER postgraduate positions at program location,Region,On-call hours per month,Staffing hours per month,Program Website,Training Program Video,Training Program Twitter Handle,Contact,Conact,Web ID,Last Modified
10,Residency,PGY1,Pharmacy,,,Other,,"This PGY1 Pharmacy Residency is a 12-month program designed to develop the resident’s skills and competency in providing patient-centered care as part of an interdisciplinary team with a focus in primary care, mental health, and geriatrics. Our preceptors are considered experts in their areas, having completed residencies and board certifications and/or having many years of experience. The goal for the TVAMC PGY1 Pharmacy Residency Program is to build upon the foundation of the Doctor of Pharmacy (PharmD) education and to contribute to the development of clinical pharmacists that will be competent and confident practitioners of pharmaceutical care in the areas of primary care, mental health, geriatrics, inpatient/outpatient pharmacy staffing, and pharmacy management. ",,,"Shelley McIntire, PharmD, BCPS",Tuscaloosa VA Medical Center,1,"July 01, 2022","$41,166.00",4,2,Southeast,,8,,,,"Shelley McIntire, PharmD, BCPSTuscaloosa VA Medical Center3701 Loop Road EastTuscaloosa, AL 35404205-554-3761 (Phone)shelley.mcintire@va.gov","Shelley McIntire, PharmD, BCPSTuscaloosa VA Medical Center3701 Loop Road EastTuscaloosa, AL 35404205-554-3761 (Phone)shelley.mcintire@va.gov",W-8127,"October 20, 2021"
11,Residency,PGY1,Pharmacy,,,Outpatient Clinic,,"This Ambulatory Care focused residency is based in Auburn, Alabama, and is associated with multiple practice sites, including the Auburn University Pharmaceutical Care Center, the State Employees’ Insurance Board Wellness Center in Montgomery, and three patient-care oriented pharmacies. The program provides various rotation opportunities. Our clinical sites offer a variety of services, including High Risk Medication review and management, Diabetes Education, Transitions of Care/Continuity of Care, Smoking Cessation, Weight Management, Health and Wellness Screenings, and Vaccinations. Residents will mentor students in the introductory and advanced experiential program. The area has a rich culture and offers recreational, sporting, cultural, and entertainment attractions. ",,,P. David Brackett,Auburn University Clinical Health Services,1,"July 01, 2023","$45,000.00",4,,Southeast,24,43,https://pharmacy.auburn.edu/chs/residency.php,,,"P. David BrackettAuburn University Clinical Health Services2155 Walker BuildingAuburn, AL 36849334-844-4099 (Phone)brackpd@auburn.edu","P. David BrackettAuburn University Clinical Health Services2155 Walker BuildingAuburn, AL 36849334-844-4099 (Phone)brackpd@auburn.edu",W-9540,"September 02, 2022"
12,Residency,PGY1,Pharmacy,,,Community Hospital,,"The PGY-1 Pharmacy Residency Program at St. Bernards allows our residents to be actively involved in a wide variety of patient care experiences through diverse learning experiences. The resident’s activities include, but are not limited to, medication order review, therapeutic drug monitoring, antimicrobial stewardship, code blue response, interdisciplinary rounds, and committee involvement. Our preceptors are devoted to enhancing the resident's learning experience and take pride in their commitment to the program. St Bernards also serves as a teaching site for the UAMS College of Pharmacy, Harding University College of Pharmacy and the University of Tennessee College of Pharmacy in Memphis.    ",,,Andrea Davis Pharm.D.,St. Bernards Medical Center ,1,"June 26, 2023",$0.00,2,,Northeast,,,https://www.stbernards.info/st-bernards-pharmacy-residency-program,https://www.youtube.com/watch?v=xl0yJ73CZRU&t=2s,,"Andrea Davis Pharm.D.St. Bernards Medical Center 225 E Washington AveJonesboro, AR 72401(870)207-4516 (Phone)ancavenaugh@sbrmc.org","Andrea Davis Pharm.D.St. Bernards Medical Center 225 E Washington AveJonesboro, AR 72401(870)207-4516 (Phone)ancavenaugh@sbrmc.org",W-9357,"July 28, 2022"
13,Residency,PGY1,Pharmacy,,,Community Hospital,,"The residency program at CHI St. Vincent is designed to develop a well-rounded pharmacy practitioner and future leader in pharmacy practice, who is clinically prepared for an advanced level of practice at a community-based hospital.  Our residency gives in-depth experience in broad areas of pharmacy practice, including internal medicine, critical care, infectious disease, cardiology, medication safety, emergency medicine, and antimicrobial stewardship. The resident’s activities include, but are not limited to, education for coworkers and patients, multi-disciplinary rounds, precepting pharmacy students, major research project to present at a residents conference, poster presentation, pharmacy committee participation, MUE and new drug reviews, and completion of teaching certificate and research certificate programs.",,,Brandy Hopkins,CHI St. Vincent Infirmary,1,"June 27, 2022","$43,680.00",2,,Southeast,,36,http://www.chistvincent.com/pharmacyresidency,,,"Brandy HopkinsCHI St. Vincent Infirmary2 St. Vincent CircleLittle Rock, AR 722055015524862 (Phone)brhopkins@stvincenthealth.com","Brandy HopkinsCHI St. Vincent Infirmary2 St. Vincent CircleLittle Rock, AR 722055015524862 (Phone)brhopkins@stvincenthealth.com",W-8157,"October 29, 2021"
14,Residency,PGY1,Pharmacy,,,Academic Health System,,"Pharmacists at Baptist Health Medical Center-North Little Rock work with the healthcare team to ensure positive patient outcomes. Services provided by pharmacists span beyond decentralized clinical consultation (dosing – pharmacokinetic, antimicrobials, anticoagulation, antimicrobial stewardship – culture review, de-escalation; IV to PO) to include Graduate Medical Education integration, rehab team rounds, and transitions of care.",,,"Dr. Eric Hamilton, MS, PharmD, BCCCP",Baptist Health Medical Center - North Little Rock,1,"June 20, 2022","$47,840.00",2,,Southeast,,36,https://www.baptist-health.com/pharmacy-residency-programs/baptist-health-medical-center-north-little-rock-pgy1-pharmacy-residency/,,,"Dr. Eric Hamilton, MS, PharmD, BCCCPBaptist Health Medical Center - North Little Rock3333 Springhill Dr.Attn: PharmacyNorth Little Rock, AR 720345012023042 (Phone)eric.hamilton@baptist-health.org","Dr. Eric Hamilton, MS, PharmD, BCCCPBaptist Health Medical Center - North Little Rock3333 Springhill Dr.Attn: PharmacyNorth Little Rock, AR 720345012023042 (Phone)eric.hamilton@baptist-health.org",W-8192,"July 15, 2022"
15,Residency,PGY1,Pharmacy,,,Community Hospital,,"Baptist Health Medical Center - North Little Rock offers a postgraduate year one (PGY1) residency program accredited by ASHP.  PGY1 pharmacy residency programs build on Doctor of Pharmacy (Pharm.D.) education and outcomes to contribute to the development of clinical pharmacists responsible for medication-related care of patients with a wide range of conditions, eligible for board certification, and eligible for postgraduate year two (PGY2) pharmacy residency training.

Apply online through the American Society of Health System Pharmacists’ residency centralized application service, PhORCAS. Candidates must submit their application including the following documents through PhORCAS by January 1st:
- Official transcript
- Three letters of recommendation
- Letter of intent
- Curriculum Vitae",,,Amber Powell,Baptist Health Medical Center - North Little Rock,1,"June 20, 2022",$0.00,2,84,Southeast,,36,https://www.baptist-health.com/pharmacy-residency-programs/baptist-health-medical-center-north-little-rock-pgy1-pharmacy-residency/,,,"Amber PowellBaptist Health Medical Center - North Little Rock3333 Springhill DriveNorth Little Rock, AR 72217501 202 1097 (Phone)amber.powell@baptist-health.org","Amber PowellBaptist Health Medical Center - North Little Rock3333 Springhill DriveNorth Little Rock, AR 72217501 202 1097 (Phone)amber.powell@baptist-health.org",W-8123,"October 20, 2021"
16,Residency,PGY1,Pharmacy,,,Community Hospital,,"Baptist Health Medical Center - Little Rock offers a postgraduate year one (PGY1) residency program accredited by ASHP.  PGY1 pharmacy residency programs build on Doctor of Pharmacy (Pharm.D.) education and outcomes to contribute to the development of clinical pharmacists responsible for medication-related care of patients with a wide range of conditions, eligible for board certification, and eligible for postgraduate year two (PGY2) pharmacy residency training.

Apply online through the American Society of Health System Pharmacists’ residency centralized application service, PhORCAS. Candidates must submit their application including the following documents through PhORCAS by January 1st:
- Official transcript
- Three letters of recommendation
- Letter of intent
- Curriculum Vitae",,,Amber Powell,Baptist Health Medical Center - Little Rock,1,"June 20, 2022",$0.00,2,,Southeast,,36,https://www.baptist-health.com/pharmacy-residency-programs/baptist-health-little-rock-pgy1-pharmacy-residency-program/,,,"Amber PowellBaptist Health Medical Center - Little Rock9601 Baptist Health DrLittle Rock, AR 72205501 202 1097 (Phone)amber.powell@baptist-health.org","Amber PowellBaptist Health Medical Center - Little Rock9601 Baptist Health DrLittle Rock, AR 72205501 202 1097 (Phone)amber.powell@baptist-health.org",W-8124,"October 20, 2021"
17,Residency,PGY1,Pharmacy,,,Outpatient Clinic,,"VHSO is a 58-operating bed facility with general medicine, surgical, intensive care and mental health beds available. Our Primary Care Clinics serve approximately 55,000 Veterans through our main campus, in Fayetteville, Arkansas and our seven other Community-Based Outpatient Clinics (CBOC).  

Six-Week Learning Experiences:
- Acute Care
- Home-Based Primary Care
- Mental Health
- Orientation
- Patient-Aligned Care Team (PACT)
- 1 Required Selective Learning Experience

Longitudinal Learning Experiences:
- Drug Information 
- Education
- Evaluation of Medication Use Systems
- Management
- Resident Project
- Staffing

Elective Learning Experiences (either 2 six-week or 3 month-long elective learning experiences). Examples include: 
- Hepatology Clinic
- Academic Detailing
- Substance-Use Disorder
- Scientific Writing
Others as requested",,,"Marcus Costner, PharmD, BCPS; Program Director","Fayetteville, Arkansas VA Medical Center",1,"July 01, 2022","$41,742.00",2,,Southeast,,16,https://www.va.gov/fayetteville-arkansas-health-care/work-with-us/internships-and-fellowships/,,,"Marcus Costner, PharmD, BCPS; Program DirectorFayetteville, Arkansas VA Medical Center1100 North College AveFayetteville, AR 72703479-443-4301 (Phone)marcus.costner@va.gov","Marcus Costner, PharmD, BCPS; Program DirectorFayetteville, Arkansas VA Medical Center1100 North College AveFayetteville, AR 72703479-443-4301 (Phone)marcus.costner@va.gov",W-8103,"October 26, 2021"
18,Residency,PGY1,Pharmacy,,,Community Hospital,,"The PGY1 Pharmacy Residency program at Unity Health - WCMC builds on Doctor of Pharmacy education and outcomes to contribute to the development of clinical pharmacists responsible for medication-related care of patients with a wide range of conditions. Our program is structured to develop a clinical pharmacist equipped to provide high quality patient care in a small to mid-sized community hospital setting. Our program works with each resident to design a customized development plan based on their knowledge, skills and areas of interest. Upon successful completion of the program, the individual resident will be well-prepared to pursue their unique career goals. Residents must complete 11 monthly rotations, including 5 required and 6 elective rotations, as well as 4 required longitudinal rotations.",,,Elizabeth Underwood,Unity Health - White County Medical Center,1,"June 13, 2023","$42,000.00",4,,Midwest,,24,https://www.unity-health.org/residency-programs/pharmacy-residency-program/,https://www.youtube.com/watch?v=KKmQTnTht_k,,"Elizabeth UnderwoodUnity Health - White County Medical Center3214 E Race StreetSearcy, AR 721435013801117 (Phone)elizabeth.underwood@unity-health.org","Elizabeth UnderwoodUnity Health - White County Medical Center3214 E Race StreetSearcy, AR 721435013801117 (Phone)elizabeth.underwood@unity-health.org",W-8108,"July 26, 2022"
19,Residency,PGY1,Pharmacy,,,Academic Health System,,"The PGY1 Pharmacy Residency at Arkansas Children’s Hospital and the University of Arkansas for Medical Sciences (UAMS) College of Pharmacy is designed to provide the resident with broad-based learning experiences in a pediatric environment. Through participation in the teaching certificate program and other teaching experiences, residents will further develop their communication skills and teaching abilities. Through participation in scholarly activities, residents will hone their problem-solving skills and ability to generate, interpret, and disseminate knowledge within their practice. Core rotations include Pediatric Intensive Care, Cardiovascular Intensive Care, Neonatal Intensive Care, Ambulatory Care, General Pediatrics, Transplant, Hematology/Oncology, Research, Pharmacy Administration, and Teaching/Education.",,,Mandy Baker,Arkansas Children's Hospital/University of AR for Medical Sciences College of Pharmacy,1,"July 01, 2022",$0.00,1,1,Midwest,16,16,https://pharmacy.uams.edu/residency/pgy1/arkansas-childrens-hospital/,,,"Mandy BakerArkansas Children's Hospital/University of AR for Medical Sciences College of Pharmacy1 Children's Way, Slot 304Little Rock, AR 722025013641826 (Phone)bakerak@archildrens.org","Mandy BakerArkansas Children's Hospital/University of AR for Medical Sciences College of Pharmacy1 Children's Way, Slot 304Little Rock, AR 722025013641826 (Phone)bakerak@archildrens.org",W-7990,"July 28, 2022"
20,Residency,PGY1,Pharmacy,,,Academic Health System,,"The PGY-1 Pharmacy Residency at the University of Arkansas for Medical Sciences (UAMS) Medical Center is one of only twelve original residency programs that have been in continuous operation for 50 years. The UAMS Medical Center pharmacy residency program was established in 1956 and has been accredited by ASHP since 1963.  Our program offers each resident the flexibility needed to gain knowledge and experience in their area of interest. This allows each individual resident to pursue unique career goals while also becoming a well-rounded clinician. Residents must complete ten, 4-week experiences in addition to longitudinal experiences in staffing and Medication Compliance, Quality and Safety. Upon successful completion of the program, trainees are awarded an ASHP Accredited Residency Certificate.",,,"Ashley Wilson, PharmD, BCPS, BCCCP",UAMS Medical Center,1,"July 01, 2022","$46,000.00",4,1,Southeast,,,https://pharmacyservices.uams.edu/pharmacy-residency/residency/,,@uamspharmres,"Ashley Wilson, PharmD, BCPS, BCCCPUAMS Medical Center4301 W MarkhamSlot 571Little Rock, AR 72205501-686-8702 (Phone)aswilson@uams.edu","Ashley Wilson, PharmD, BCPS, BCCCPUAMS Medical Center4301 W MarkhamSlot 571Little Rock, AR 72205501-686-8702 (Phone)aswilson@uams.edu",W-6743,"August 23, 2021"
21,Residency,PGY1,Pharmacy,,,Other,,"VHSO is a 52-operating bed facility with general medicine, step down, surgical, intensive care, residential rehabilitation and acute mental health beds available. Our Primary Care Clinics serve approximately 55,000 veterans through our main campus, in Fayetteville and our seven Community-Based Outpatient Clinics (CBOC) in Arkansas, Missouri, and Oklahoma. The mission of our facility is to: “Honor America’s Veterans by providing exceptional health care that improves their health and well-being.”",,,"Marcus Costner, PharmD, BCPS","Fayetteville, Arkansas VA Medical Center",1,"July 01, 2023","$41,742.00",2,,Midwest,,16,https://www.va.gov/fayetteville-arkansas-health-care/work-with-us/internships-and-fellowships/,,,"Marcus Costner, PharmD, BCPSFayetteville, Arkansas VA Medical Center1100 North College Avenue (119)Fayetteville, AR 72703479-587-5986 (Phone)marcus.costner@va.gov","Marcus Costner, PharmD, BCPSFayetteville, Arkansas VA Medical Center1100 North College Avenue (119)Fayetteville, AR 72703479-587-5986 (Phone)marcus.costner@va.gov",W-6094,"July 26, 2022"
22,Residency,PGY1,Pharmacy,,,Community Hospital,,"Yuma Regional Medical Center is a 406-bed licensed, not-for-profit hospital serving the residents of Yuma and the surrounding communities of southwestern Arizona.  Our PGY-1 program will offer residents the experience of pharmacy practice in a rural institution with a focus on acute care, along with a number of experiences in the ambulatory setting.  Experiences for which the resident will take part of, but not be limited to include Internal Medicine, Critical Care, Infectious Disease, Ambulatory Oncology, Anticoagulation Clinic, Transition of Care Clinic (CHF/COPD), Pain Management/Palliative Care, Practice Management, and Teaching/Precepting.  ",,,"Jacob Schwarz, PharmD, BCIDP, BCCCP, BCPS",Yuma Regional Medical Center,1,"July 01, 2022",,2,,Southwest,,36,https://www.yumaregional.org/Careers/Residency-and-Training/Pharmacy-Residency-Program,,,"Jacob Schwarz, PharmD, BCIDP, BCCCP, BCPSYuma Regional Medical Center2400 South Avenue AYuma, AZ 85364928-336-7037 (Phone)jschwarz@yumaregional.org","Jacob Schwarz, PharmD, BCIDP, BCCCP, BCPSYuma Regional Medical Center2400 South Avenue AYuma, AZ 85364928-336-7037 (Phone)jschwarz@yumaregional.org",W-6544,"October 18, 2021"
23,Residency,PGY1,Pharmacy,,,Outpatient Clinic,,"A student pharmacist completing this program will be well-prepared to serve as a patient care leader in an outpatient setting.  The experiences over the course of the year are designed to not only improve your clinical skills, but develop your vision and leadership style.  Successful residents will be prepared to enter practice, pursue advanced training in a PGY2 residency or fellowship, and be prepared for board certification. 

The program emphasizes outpatient clinical practice consisting of nine months of core learning experiences in specific aspects of pharmacy practice and three months of elective opportunities. The affiliation with the University of Arizona College of Pharmacy provides a wide variety of electives, a teaching certificate, research expertise, and a large cohort of peers. ",,,"Amy K. Kennedy, PharmD, BCACP",University of Arizona College of Pharmacy / El Rio Health,1,"June 20, 2022","$47,000.00",3,1,Southwest,,8,https://www.elrio.org/pharmacyresidency/,https://www.pharmacy.arizona.edu/residency-program,,"Amy K. Kennedy, PharmD, BCACPUniversity of Arizona College of Pharmacy / El Rio Health1295 N. MartinP.O. Box 210202Tucson, AZ 85721(520)621-4269 (Phone)kennedy@pharmacy.arizona.edu","Amy K. Kennedy, PharmD, BCACPUniversity of Arizona College of Pharmacy / El Rio Health1295 N. MartinP.O. Box 210202Tucson, AZ 85721(520)621-4269 (Phone)kennedy@pharmacy.arizona.edu",W-5602,"July 22, 2022"
